Date,AESO_Power_Demand,Calgary_Weather,Edmonton_Weather,FtMac_Weather
1/1/2014,9641,-5.15,-17.92,-32.4
1/2/2014,9648,-0.7,-6.69,-15.45
1/3/2014,9979,-4.1,-5.56,-19.3
1/4/2014,10044,-16.5,-18.86,-30.1
1/5/2014,9956,-19.95,-26.64,-32
1/6/2014,10037,-5.55,-15.36,-24.65
1/7/2014,9933,-6.4,-13.25,-28.35
1/8/2014,9789,-2.85,-11.84,-17.15
1/9/2014,9714,-1.2,-6.06,-10.85
1/10/2014,9581,-3.3,-6.5,-15.95
1/11/2014,9346,-1.05,-6.36,-15.4
1/12/2014,9555,-2.75,-7.56,-18.9
1/13/2014,9784,0.15,-3.14,-21.25
1/14/2014,9521,0.2,0.8,-15.05
1/15/2014,9234,4.35,2.41,-0.95
1/16/2014,9424,2.75,0.47,-5.45
1/17/2014,9443,4.85,3.2,-1.9
1/18/2014,9198,4.2,2.08,-4.3
1/19/2014,9560,2.3,1.5,-17.6
1/20/2014,9656,-1.45,-4,-21.75
1/21/2014,9780,-1.3,-1.7,-18.7
1/22/2014,9722,-4.6,-6.64,-19.9
1/23/2014,9650,1.7,-2.86,-6.55
1/24/2014,9422,6.5,5.44,-0.05
1/25/2014,9430,5.85,5,-6.9
1/26/2014,9926,-5,-5.3,-17.75
1/27/2014,10045,-11.15,-15.11,-26.3
1/28/2014,9802,-3.1,-6.56,-16.8
1/29/2014,10029,-5.15,-6.58,-22.8
1/30/2014,10165,-14.05,-16.86,-20.35
1/31/2014,9905,-13.35,-14.56,-18.3
2/1/2014,9689,-12.4,-11.44,-14.3
2/2/2014,9630,-12.1,-12.14,-14.45
2/3/2014,10040,-16.45,-14,-19.85
2/4/2014,10092,-21.55,-19.36,-22.5
2/5/2014,10085,-23.55,-22.3,-24.75
2/6/2014,10115,-17.2,-17.94,-16.15
2/7/2014,10033,-17.35,-16.56,-20.7
2/8/2014,10022,-19.55,-17.47,-27.55
2/9/2014,10162,-22.1,-22.44,-27.65
2/10/2014,10275,-20.45,-23.56,-27.6
2/11/2014,10185,-18.95,-22.7,-27.75
2/12/2014,9968,-12.4,-17.56,-28.4
2/13/2014,9801,-3.25,-15,-18.15
2/14/2014,9563,-1.85,-10.08,-18.45
2/15/2014,9387,-1,-6.19,-8.95
2/16/2014,9377,-1.55,-5.86,-11.5
2/17/2014,9434,0.15,-2.94,-11
2/18/2014,9587,-0.85,-3.58,-10.25
2/19/2014,9773,-2.45,-2.75,-10
2/20/2014,9785,-2.35,-9.94,-12.1
2/21/2014,9944,-7.9,-9.64,-17.6
2/22/2014,9912,-15.15,-17.42,-24.85
2/23/2014,10036,-20.8,-20.8,-24
2/24/2014,10273,-18.45,-20,-23.45
2/25/2014,10022,-13.95,-16.92,-21.85
2/26/2014,9982,-5.2,-12.08,-18.7
2/27/2014,10322,-7.95,-13.56,-21.05
2/28/2014,10352,-20.7,-19.5,-30.7
3/1/2014,10245,-27.75,-26.56,-28.6
3/2/2014,10068,-26,-25.36,-25.05
3/3/2014,10088,-21.35,-20.39,-26
3/4/2014,10098,-17.9,-17.78,-20.2
3/5/2014,10102,-17.5,-19.64,-18.45
3/6/2014,9987,-16.1,-19.06,-18.55
3/7/2014,9656,-9.05,-13.75,-17.8
3/8/2014,9252,3.7,-1.5,-10.05
3/9/2014,9382,4.75,5.14,-3.9
3/10/2014,9494,1.9,2.25,-7.1
3/11/2014,9539,1.75,3.7,-6.5
3/12/2014,9448,9.75,6.92,5.6
3/13/2014,9384,2.45,6.66,0.95
3/14/2014,9486,2.65,0,-4.05
3/15/2014,9205,3.45,3.39,-0.4
3/16/2014,9288,5.8,6.44,2.05
3/17/2014,9563,3.15,4.97,-0.95
3/18/2014,9519,0.35,2.14,-1.9
3/19/2014,9467,3.15,3.14,-1
3/20/2014,9898,-4.05,-1.3,-12.35
3/21/2014,9810,-12.6,-11.22,-18.9
3/22/2014,9567,-12.65,-12.5,-18.1
3/23/2014,9656,-11.25,-8.56,-14.3
3/24/2014,9768,-10.15,-8.92,-13.85
3/25/2014,9681,-7.55,-5.94,-12.05
3/26/2014,9668,-9.2,-6.84,-14.05
3/27/2014,9679,-9,-9.14,-14.3
3/28/2014,9442,-7.9,-11.14,-9.55
3/29/2014,9393,-8.4,-4.5,-12.9
3/30/2014,9712,-8.95,-8.39,-19.2
3/31/2014,9698,-11.95,-9.5,-13
4/1/2014,9533,-6.6,-6.25,-7.95
4/2/2014,9545,-1.65,-3.94,-10.3
4/3/2014,9460,-2.95,-5.86,-8.95
4/4/2014,8956,4.05,2.53,-2.5
4/5/2014,8928,4.5,2.97,-5.95
4/6/2014,9156,4.5,5.39,0.4
4/7/2014,9105,7.7,6.56,3.1
4/8/2014,9136,11,10.16,9.55
4/9/2014,9235,6.05,10.5,5.45
4/10/2014,9225,6.5,6.06,-0.15
4/11/2014,9226,6.8,7.25,-6.55
4/12/2014,9152,-2.5,0.03,-9.25
4/13/2014,9110,-1.3,-1.67,-8.4
4/14/2014,9151,5.4,4.94,-1.25
4/15/2014,9089,4.6,6.75,-1.5
4/16/2014,9338,-2,-2.14,-2.75
4/17/2014,9175,1.3,-1.86,-0.4
4/18/2014,8995,-0.45,-1.25,-1
4/19/2014,8847,4.6,3.75,3.95
4/20/2014,8681,9.45,8.36,4.9
4/21/2014,8928,8.75,8.44,8.5
4/22/2014,8886,8.9,12.78,6.15
4/23/2014,9062,7.5,10.36,7.4
4/24/2014,8818,4.3,4.44,2.5
4/25/2014,8697,3.6,4.3,3.35
4/26/2014,8756,1.55,4.25,5.05
4/27/2014,8722,5.7,6,3.05
4/28/2014,8845,7.05,7.94,6.4
4/29/2014,8839,8.25,10.06,9.35
4/30/2014,8803,10.95,13.08,9.9
5/1/2014,8784,14.85,16.61,10.7
5/2/2014,8772,5.4,10.7,1.2
5/3/2014,8698,-1.2,3.08,-1.6
5/4/2014,8470,0.7,-0.64,-0.6
5/5/2014,8718,1.4,3.36,1.45
5/6/2014,8668,0.3,4.31,2.9
5/7/2014,8714,1.95,2.92,1.5
5/8/2014,8748,7.6,8,2.4
5/9/2014,8660,5.5,8.61,3.3
5/10/2014,8613,4.45,6.06,0.95
5/11/2014,8648,4.3,6.89,6.4
5/12/2014,8928,7.4,9.39,7.75
5/13/2014,8914,10.2,10.97,7.3
5/14/2014,9041,11.6,14.94,10.35
5/15/2014,8882,10.1,14.5,7.85
5/16/2014,8546,8.5,9.64,8.5
5/17/2014,8372,10.65,11.8,10.5
5/18/2014,8291,10.4,12.94,14.4
5/19/2014,8478,11.8,10.39,12.9
5/20/2014,8631,12.9,13.5,11.15
5/21/2014,8652,15.2,16.03,14.7
5/22/2014,8778,16.55,17.86,13.8
5/23/2014,8561,18.95,19.5,19.5
5/24/2014,8320,14.05,18.86,12.5
5/25/2014,8370,12.6,15,10.1
5/26/2014,8319,13.55,13.61,10.15
5/27/2014,8513,11.2,12.06,8.75
5/28/2014,8485,8.6,10.53,7.3
5/29/2014,8335,10.95,8.92,7.45
5/30/2014,8359,13.1,14.3,11.3
5/31/2014,8189,13.6,15.75,13.25
6/1/2014,8295,12.2,15.8,14.7
6/2/2014,8527,12.5,15.8,15.9
6/3/2014,8481,13.8,17.44,16.1
6/4/2014,8516,13.95,16.39,8.65
6/5/2014,8491,8,7.11,7.85
6/6/2014,8448,9.5,10.3,8.75
6/7/2014,8278,11.35,12.34,10.15
6/8/2014,8591,12.95,14,10.55
6/9/2014,8609,12.8,14,10.05
6/10/2014,8396,10.65,11.94,13.5
6/11/2014,8428,11.65,11.39,13.75
6/12/2014,8611,13.05,15.5,15.35
6/13/2014,8540,10.5,14.94,15.95
6/14/2014,8309,11.9,15.47,16.9
6/15/2014,8386,11.3,15.56,16.75
6/16/2014,8437,10.95,14.36,15.3
6/17/2014,8592,11.15,12.7,15.65
6/18/2014,8648,11.2,14.64,18.1
6/19/2014,8597,13.4,14.75,15.95
6/20/2014,8573,15.8,18.2,15.9
6/21/2014,8216,14,18.39,15.95
6/22/2014,8508,14.95,16,17.85
6/23/2014,8822,15.25,17.92,18.4
6/24/2014,8839,17.15,20.11,20.55
6/25/2014,8691,14.65,19.92,20.7
6/26/2014,8964,14.65,16.61,18
6/27/2014,8808,15.25,18.72,17.85
6/28/2014,8576,16.1,18.97,18.65
6/29/2014,8587,13.1,16.36,19.6
6/30/2014,8802,16,17.92,20.4
7/1/2014,8705,16.4,18.64,18.45
7/2/2014,9268,18.2,21.75,19.55
7/3/2014,9306,21.3,24,21.85
7/4/2014,9138,19.6,21.2,20.65
7/5/2014,8790,19.5,19.11,18.3
7/6/2014,8827,18.6,18.97,18.9
7/7/2014,9146,17.3,19.5,17.6
7/8/2014,9416,18.9,21.39,18.85
7/9/2014,9184,21.65,21.03,22.15
7/10/2014,9068,16.7,19.64,17.6
7/11/2014,9095,15.45,17.14,16.3
7/12/2014,9122,19.3,18.56,13.75
7/13/2014,9311,20.35,20.36,16.65
7/14/2014,9449,19.65,21.86,21.3
7/15/2014,8313,19.9,22.47,21.95
7/16/2014,9668,22.6,22.84,20.5
7/17/2014,9090,19.15,20.58,16.45
7/18/2014,9099,15.65,16.3,18.45
7/19/2014,9146,19.1,17.94,16.55
7/20/2014,8866,15.65,16.06,14.8
7/21/2014,8945,15.7,16,14.3
7/22/2014,9107,16.9,18.84,17.45
7/23/2014,9400,18.4,20.89,18.75
7/24/2014,9116,16.6,21.5,21.1
7/25/2014,8779,15.5,19.11,20.1
7/26/2014,8698,16.35,15.61,19.6
7/27/2014,9053,17.9,17.44,19.4
7/28/2014,9634,18.95,22.06,20.15
7/29/2014,9656,22.05,23.61,22.15
7/30/2014,9516,23,24.06,23.85
7/31/2014,9451,20.2,24.42,20.9
8/1/2014,9218,19.55,19.89,16.05
8/2/2014,8894,21.2,21.44,17.9
8/3/2014,8921,18.75,21.39,19.85
8/4/2014,9022,16.35,20.94,21.4
8/5/2014,9511,17.75,20.25,20.35
8/6/2014,9447,19.65,21.44,22.1
8/7/2014,9188,19.45,20.64,19.5
8/8/2014,8740,15.25,18.25,15.75
8/9/2014,8671,14.4,15.86,15.45
8/10/2014,9132,17.75,19.2,17.55
8/11/2014,9525,19.65,21,18.7
8/12/2014,9641,20.5,22.97,19.05
8/13/2014,9781,22.55,22.28,23.4
8/14/2014,9633,19.5,23.06,21.15
8/15/2014,9186,18.65,23.36,20.35
8/16/2014,8832,17.6,22.8,20.65
8/17/2014,9165,19.45,20.5,22.15
8/18/2014,9504,20.1,21.56,18.85
8/19/2014,9046,17.25,20.75,18.05
8/20/2014,9003,12.2,16.84,12.95
8/21/2014,8923,10.75,14,8.75
8/22/2014,8708,10.25,12.36,8.55
8/23/2014,8525,10.6,11.44,11.4
8/24/2014,8672,11.7,14.66,14.45
8/25/2014,9019,13.8,15.5,15.5
8/26/2014,9176,17.35,19.44,18.45
8/27/2014,9105,20.25,19.8,17.65
8/28/2014,9009,11.45,17.5,10.4
8/29/2014,8855,13.4,14.11,10.5
8/30/2014,8566,14.35,15.47,14.65
8/31/2014,8526,13.3,14.2,13.3
9/1/2014,8785,13.45,12.89,11.75
9/2/2014,9021,11.5,13.5,10.25
9/3/2014,8942,9.2,11.44,10.05
9/4/2014,8945,10.5,12,9.7
9/5/2014,8961,13.95,14.44,6.4
9/6/2014,8863,16.2,16.7,7.3
9/7/2014,8840,18,18.64,5.25
9/8/2014,9066,4.85,5.86,2.9
9/9/2014,9036,0.6,3.94,1.75
9/10/2014,9115,0.4,4.08,2.95
9/11/2014,9062,3,5.86,5.25
9/12/2014,8894,4.8,7.89,7.55
9/13/2014,8647,7.4,8.58,5.45
9/14/2014,8756,11.55,12,8.15
9/15/2014,8953,13.3,14.92,12.4
9/16/2014,8975,15.7,17.11,9.55
9/17/2014,9065,16.3,16.75,8.95
9/18/2014,9045,16.35,16.53,12.35
9/19/2014,8856,15.55,16.39,15.4
9/20/2014,8710,14.05,15.78,14.7
9/21/2014,8764,16.3,18.56,17.05
9/22/2014,9083,19.35,17.86,18.8
9/23/2014,8945,16.35,16.3,15.5
9/24/2014,8896,19.5,16.36,13.8
9/25/2014,8996,17.7,15,11.3
9/26/2014,8753,10.6,9.2,4.9
9/27/2014,8568,7.45,5.56,5.1
9/28/2014,8742,8.85,8.7,6.15
9/29/2014,8854,12.95,11.7,11.65
9/30/2014,8931,8,9.5,8.9
10/1/2014,9015,8.25,7.92,5.15
10/2/2014,9079,2.55,7.16,0.85
10/3/2014,8920,5.7,2.28,-0.05
10/4/2014,8788,14.15,12.64,3.25
10/5/2014,8769,11.6,12.61,9.95
10/6/2014,8931,12.15,10.89,4.75
10/7/2014,8996,8.85,8.78,5.45
10/8/2014,9187,9.35,8.8,2.3
10/9/2014,9138,8.75,10.5,5.55
10/10/2014,8957,11.95,13,12.7
10/11/2014,8812,11.85,12.25,11.35
10/12/2014,8764,10.05,10.67,8.85
10/13/2014,8874,10.5,8.44,6.25
10/14/2014,9304,9.7,9.8,9.15
10/15/2014,9333,6.15,9.75,1.85
10/16/2014,9305,7.3,6.86,-0.7
10/17/2014,9229,8.25,8.86,5.55
10/18/2014,9111,13.95,11.56,10.35
10/19/2014,9146,10.6,9.25,7.95
10/20/2014,9348,13.55,11.3,10.2
10/21/2014,9209,11,12.72,8.05
10/22/2014,9189,8.4,8.86,7.2
10/23/2014,9079,9.65,8.64,6.65
10/24/2014,9210,5.8,9.64,2.45
10/25/2014,9119,4.1,2.61,2.1
10/26/2014,9287,3.55,2.7,0.7
10/27/2014,9378,1.2,-1.16,-0.3
10/28/2014,9386,1.45,-1.25,-0.25
10/29/2014,9256,6.6,0.25,-0.3
10/30/2014,9421,0.45,1.56,-0.6
10/31/2014,9162,8.6,3.5,1.7
11/1/2014,9217,-0.1,3.2,3.05
11/2/2014,9232,-0.55,2.44,-1.7
11/3/2014,9432,0.8,2.39,-1.45
11/4/2014,9508,5.65,2.3,-1.5
11/5/2014,9474,2.9,2.61,-0.3
11/6/2014,9365,8.85,4.94,2.2
11/7/2014,9417,3.05,1.11,-4.75
11/8/2014,9316,5.8,-0.42,-14.55
11/9/2014,9634,-6.75,-6,-16.75
11/10/2014,10039,-13.25,-13.06,-15
11/11/2014,9753,-15.15,-13.06,-16.25
11/12/2014,10061,-16.65,-13.56,-16.25
11/13/2014,10229,-15.6,-16.89,-15.8
11/14/2014,10115,-15.6,-16.7,-15.75
11/15/2014,9673,-7.9,-9.14,-10.8
11/16/2014,9867,-7.35,-11.2,-12.1
11/17/2014,9924,-4.1,-12.5,-13.75
11/18/2014,9999,-3.3,-2.78,-9.35
11/19/2014,9880,-9,-2.95,-11.35
11/20/2014,9738,-0.65,-0.78,-6.35
11/21/2014,9525,5.35,3.08,-6.25
11/22/2014,9543,1.75,-2.5,-10.4
11/23/2014,9821,-1.25,-5.5,-14.55
11/24/2014,9839,-0.45,-2,-14.25
11/25/2014,10070,-0.3,-7.56,-23.05
11/26/2014,10075,-3.7,-8.75,-24.05
11/27/2014,10327,-8.7,-14,-19.1
11/28/2014,10361,-18.85,-21.89,-23.1
11/29/2014,9356,-21.4,-24.53,-24.55
11/30/2014,10256,-20.45,-21.56,-25.2
12/1/2014,10318,-11.55,-16,-22.95
12/2/2014,10194,-8.15,-10.39,-22.25
12/3/2014,9960,-7.55,-7.31,-21.25
12/4/2014,10131,-5.5,-8.89,-16.65
12/5/2014,10098,-8.1,-9.25,-16.15
12/6/2014,9855,-0.2,-7.86,-14.1
12/7/2014,9959,0.65,-8.33,-10.95
12/8/2014,10076,-0.85,-9.39,-11.5
12/9/2014,9826,4.1,-0.86,-9.1
12/10/2014,9795,4.06,4.64,-0.65
12/11/2014,9876,5.75,5.75,-4.05
12/12/2014,9875,6.45,-0.72,-6.7
12/13/2014,9715,1.7,-3,-7.05
12/14/2014,9966,-3.5,-3.53,-5.95
12/15/2014,10186,-7.05,-8.36,-10.8
12/16/2014,10151,-9.3,-6.75,-15.3
12/17/2014,9933,-4.1,-5.53,-14.15
12/18/2014,10220,-2.1,-8.53,-11.7
12/19/2014,9966,-0.1,-8.25,-13.3
12/20/2014,9886,0.5,-5.11,-7.6
12/21/2014,9793,0.35,-3.86,-6.9
12/22/2014,10158,-1,-1.5,-9.05
12/23/2014,10121,-0.4,-3.75,-11.5
12/24/2014,9680,-1.25,-5.75,-16.2
12/25/2014,9598,-4.15,-9.83,-27.9
12/26/2014,9632,-6.9,-11.2,-26.1
12/27/2014,9862,-4.25,-8.86,-27.85
12/28/2014,10072,-11.25,-13.5,-28.55
12/29/2014,10454,-17.6,-18.03,-22.1
12/30/2014,10123,-11,-11.8,-13.75
12/31/2014,9637,-3.15,-3.5,-9.35
1/1/2015,9692,-2.45,-3.95,-12.44
1/2/2015,10227,-11.25,-14,-20.39
1/3/2015,10287,-20.35,-24.25,-27.75
1/4/2015,10387,-21.65,-25.75,-24.64
1/5/2015,10414,-17,-22.25,-19.28
1/6/2015,10449,-14.85,-18.53,-24.3
1/7/2015,10332,-3.55,-13.64,-22.64
1/8/2015,10510,-11.05,-17.3,-18
1/9/2015,10233,-12.9,-21.36,-23.36
1/10/2015,10112,-7.55,-20.94,-26.94
1/11/2015,10161,-12.85,-17.25,-25.44
1/12/2015,10125,-11.6,-12.06,-17.8
1/13/2015,9802,-2.45,-6.94,-10.3
1/14/2015,9775,3.75,-0.05,-4.66
1/15/2015,10011,3.75,-4.75,-13.3
1/16/2015,9767,4.1,-1.39,-6.34
1/17/2015,9651,4.3,-0.75,-3.39
1/18/2015,9727,1.1,-4.5,-7.7
1/19/2015,9926,2.9,-0.14,-10.14
1/20/2015,9908,-0.25,-2.36,-10.8
1/21/2015,9718,-0.1,-1.31,-6.8
1/22/2015,9626,3.65,5.44,3.3
1/23/2015,9507,7.25,3,1.81
1/24/2015,9285,6,3.92,-0.42
1/25/2015,9361,8.9,5.75,2.3
1/26/2015,9736,6.65,3.8,1.8
1/27/2015,9661,7.7,0.7,-6.3
1/28/2015,9973,1.3,-4,-14.56
1/29/2015,9910,1.2,-4.66,-18.53
1/30/2015,9978,-1.5,-9.25,-18.34
1/31/2015,10125,-12,-15.28,-24.56
2/1/2015,9975,-12.15,-15.89,-23.58
2/2/2015,10278,-14.1,-15.64,-20.14
2/3/2015,10430,-15.55,-17.39,-20.64
2/4/2015,10037,-5.65,-11.28,-19.06
2/5/2015,10312,-9.5,-11.3,-20.08
2/6/2015,10221,-13.55,-17.44,-24.56
2/7/2015,9846,-2.65,-16.36,-20.36
2/8/2015,10035,-6.05,-15.06,-19.94
2/9/2015,10117,-12.95,-15.8,-23.34
2/10/2015,9987,-9.8,-13.3,-23.16
2/11/2015,10102,-8.55,-12.56,-28.78
2/12/2015,9640,1,-2.94,-13.39
2/13/2015,9551,7.45,2.61,-12.06
2/14/2015,9282,2.6,-2.75,-10.94
2/15/2015,9340,1.45,1.86,-10.2
2/16/2015,9750,-1.3,-2.7,-16.06
2/17/2015,9962,-3.5,-11.16,-21.28
2/18/2015,9733,2.5,-3.92,-12.75
2/19/2015,9652,4.9,2.2,-5.94
2/20/2015,9878,-0.85,-2.36,-8.56
2/21/2015,9907,-8.85,-6.08,-19.34
2/22/2015,9678,-5.2,-7.84,-11.36
