Date,Calgary_Weather,Edmonton_Weather,FtMac_Weather,AESO_POWER_DEMAND_LABEL
1/1/2014,-5.15,-17.92,-32.4,1
1/2/2014,-0.7,-6.69,-15.45,1
1/3/2014,-4.1,-5.56,-19.3,1
1/4/2014,-16.5,-18.86,-30.1,1
1/5/2014,-19.95,-26.64,-32,1
1/6/2014,-5.55,-15.36,-24.65,1
1/7/2014,-6.4,-13.25,-28.35,1
1/8/2014,-2.85,-11.84,-17.15,1
1/9/2014,-1.2,-6.06,-10.85,1
1/10/2014,-3.3,-6.5,-15.95,1
1/11/2014,-1.05,-6.36,-15.4,1
1/12/2014,-2.75,-7.56,-18.9,1
1/13/2014,0.15,-3.14,-21.25,1
1/14/2014,0.2,0.8,-15.05,1
1/15/2014,4.35,2.41,-0.95,1
1/16/2014,2.75,0.47,-5.45,1
1/17/2014,4.85,3.2,-1.9,1
1/18/2014,4.2,2.08,-4.3,1
1/19/2014,2.3,1.5,-17.6,1
1/20/2014,-1.45,-4,-21.75,1
1/21/2014,-1.3,-1.7,-18.7,1
1/22/2014,-4.6,-6.64,-19.9,1
1/23/2014,1.7,-2.86,-6.55,1
1/24/2014,6.5,5.44,-0.05,1
1/25/2014,5.85,5,-6.9,1
1/26/2014,-5,-5.3,-17.75,1
1/27/2014,-11.15,-15.11,-26.3,1
1/28/2014,-3.1,-6.56,-16.8,1
1/29/2014,-5.15,-6.58,-22.8,1
1/30/2014,-14.05,-16.86,-20.35,1
1/31/2014,-13.35,-14.56,-18.3,1
2/1/2014,-12.4,-11.44,-14.3,1
2/2/2014,-12.1,-12.14,-14.45,1
2/3/2014,-16.45,-14,-19.85,1
2/4/2014,-21.55,-19.36,-22.5,1
2/5/2014,-23.55,-22.3,-24.75,1
2/6/2014,-17.2,-17.94,-16.15,1
2/7/2014,-17.35,-16.56,-20.7,1
2/8/2014,-19.55,-17.47,-27.55,1
2/9/2014,-22.1,-22.44,-27.65,1
2/10/2014,-20.45,-23.56,-27.6,1
2/11/2014,-18.95,-22.7,-27.75,1
2/12/2014,-12.4,-17.56,-28.4,1
2/13/2014,-3.25,-15,-18.15,1
2/14/2014,-1.85,-10.08,-18.45,1
2/15/2014,-1,-6.19,-8.95,1
2/16/2014,-1.55,-5.86,-11.5,1
2/17/2014,0.15,-2.94,-11,1
2/18/2014,-0.85,-3.58,-10.25,1
2/19/2014,-2.45,-2.75,-10,1
2/20/2014,-2.35,-9.94,-12.1,1
2/21/2014,-7.9,-9.64,-17.6,1
2/22/2014,-15.15,-17.42,-24.85,1
2/23/2014,-20.8,-20.8,-24,1
2/24/2014,-18.45,-20,-23.45,1
2/25/2014,-13.95,-16.92,-21.85,1
2/26/2014,-5.2,-12.08,-18.7,1
2/27/2014,-7.95,-13.56,-21.05,1
2/28/2014,-20.7,-19.5,-30.7,1
3/1/2014,-27.75,-26.56,-28.6,1
3/2/2014,-26,-25.36,-25.05,1
3/3/2014,-21.35,-20.39,-26,1
3/4/2014,-17.9,-17.78,-20.2,1
3/5/2014,-17.5,-19.64,-18.45,1
3/6/2014,-16.1,-19.06,-18.55,1
3/7/2014,-9.05,-13.75,-17.8,1
3/8/2014,3.7,-1.5,-10.05,1
3/9/2014,4.75,5.14,-3.9,1
3/10/2014,1.9,2.25,-7.1,1
3/11/2014,1.75,3.7,-6.5,1
3/12/2014,9.75,6.92,5.6,1
3/13/2014,2.45,6.66,0.95,1
3/14/2014,2.65,0,-4.05,1
3/15/2014,3.45,3.39,-0.4,1
3/16/2014,5.8,6.44,2.05,1
3/17/2014,3.15,4.97,-0.95,1
3/18/2014,0.35,2.14,-1.9,1
3/19/2014,3.15,3.14,-1,1
3/20/2014,-4.05,-1.3,-12.35,1
3/21/2014,-12.6,-11.22,-18.9,1
3/22/2014,-12.65,-12.5,-18.1,1
3/23/2014,-11.25,-8.56,-14.3,1
3/24/2014,-10.15,-8.92,-13.85,1
3/25/2014,-7.55,-5.94,-12.05,1
3/26/2014,-9.2,-6.84,-14.05,1
3/27/2014,-9,-9.14,-14.3,1
3/28/2014,-7.9,-11.14,-9.55,1
3/29/2014,-8.4,-4.5,-12.9,1
3/30/2014,-8.95,-8.39,-19.2,1
3/31/2014,-11.95,-9.5,-13,1
4/1/2014,-6.6,-6.25,-7.95,1
4/2/2014,-1.65,-3.94,-10.3,1
4/3/2014,-2.95,-5.86,-8.95,1
4/4/2014,4.05,2.53,-2.5,1
4/5/2014,4.5,2.97,-5.95,1
4/6/2014,4.5,5.39,0.4,1
4/7/2014,7.7,6.56,3.1,1
4/8/2014,11,10.16,9.55,1
4/9/2014,6.05,10.5,5.45,1
4/10/2014,6.5,6.06,-0.15,1
4/11/2014,6.8,7.25,-6.55,1
4/12/2014,-2.5,0.03,-9.25,1
4/13/2014,-1.3,-1.67,-8.4,1
4/14/2014,5.4,4.94,-1.25,1
4/15/2014,4.6,6.75,-1.5,1
4/16/2014,-2,-2.14,-2.75,1
4/17/2014,1.3,-1.86,-0.4,1
4/18/2014,-0.45,-1.25,-1,1
4/19/2014,4.6,3.75,3.95,1
4/20/2014,9.45,8.36,4.9,1
4/21/2014,8.75,8.44,8.5,1
4/22/2014,8.9,12.78,6.15,1
4/23/2014,7.5,10.36,7.4,1
4/24/2014,4.3,4.44,2.5,1
4/25/2014,3.6,4.3,3.35,1
4/26/2014,1.55,4.25,5.05,1
4/27/2014,5.7,6,3.05,1
4/28/2014,7.05,7.94,6.4,1
4/29/2014,8.25,10.06,9.35,1
4/30/2014,10.95,13.08,9.9,1
5/1/2014,14.85,16.61,10.7,1
5/2/2014,5.4,10.7,1.2,1
5/3/2014,-1.2,3.08,-1.6,1
5/4/2014,0.7,-0.64,-0.6,1
5/5/2014,1.4,3.36,1.45,1
5/6/2014,0.3,4.31,2.9,1
5/7/2014,1.95,2.92,1.5,1
5/8/2014,7.6,8,2.4,1
5/9/2014,5.5,8.61,3.3,1
5/10/2014,4.45,6.06,0.95,1
5/11/2014,4.3,6.89,6.4,1
5/12/2014,7.4,9.39,7.75,1
5/13/2014,10.2,10.97,7.3,1
5/14/2014,11.6,14.94,10.35,1
5/15/2014,10.1,14.5,7.85,1
5/16/2014,8.5,9.64,8.5,1
5/17/2014,10.65,11.8,10.5,1
5/18/2014,10.4,12.94,14.4,1
5/19/2014,11.8,10.39,12.9,1
5/20/2014,12.9,13.5,11.15,1
5/21/2014,15.2,16.03,14.7,1
5/22/2014,16.55,17.86,13.8,1
5/23/2014,18.95,19.5,19.5,1
5/24/2014,14.05,18.86,12.5,1
5/25/2014,12.6,15,10.1,1
5/26/2014,13.55,13.61,10.15,1
5/27/2014,11.2,12.06,8.75,1
5/28/2014,8.6,10.53,7.3,1
5/29/2014,10.95,8.92,7.45,1
5/30/2014,13.1,14.3,11.3,1
5/31/2014,13.6,15.75,13.25,0
6/1/2014,12.2,15.8,14.7,0
6/2/2014,12.5,15.8,15.9,0
6/3/2014,13.8,17.44,16.1,0
6/4/2014,13.95,16.39,8.65,0
6/5/2014,8,7.11,7.85,0
6/6/2014,9.5,10.3,8.75,0
6/7/2014,11.35,12.34,10.15,0
6/8/2014,12.95,14,10.55,0
6/9/2014,12.8,14,10.05,0
6/10/2014,10.65,11.94,13.5,0
6/11/2014,11.65,11.39,13.75,0
6/12/2014,13.05,15.5,15.35,0
6/13/2014,10.5,14.94,15.95,0
6/14/2014,11.9,15.47,16.9,0
6/15/2014,11.3,15.56,16.75,0
6/16/2014,10.95,14.36,15.3,0
6/17/2014,11.15,12.7,15.65,0
6/18/2014,11.2,14.64,18.1,0
6/19/2014,13.4,14.75,15.95,0
6/20/2014,15.8,18.2,15.9,0
6/21/2014,14,18.39,15.95,0
6/22/2014,14.95,16,17.85,0
6/23/2014,15.25,17.92,18.4,0
6/24/2014,17.15,20.11,20.55,0
6/25/2014,14.65,19.92,20.7,0
6/26/2014,14.65,16.61,18,0
6/27/2014,15.25,18.72,17.85,0
6/28/2014,16.1,18.97,18.65,0
6/29/2014,13.1,16.36,19.6,0
6/30/2014,16,17.92,20.4,0
7/1/2014,16.4,18.64,18.45,0
7/2/2014,18.2,21.75,19.55,0
7/3/2014,21.3,24,21.85,0
7/4/2014,19.6,21.2,20.65,0
7/5/2014,19.5,19.11,18.3,0
7/6/2014,18.6,18.97,18.9,0
7/7/2014,17.3,19.5,17.6,0
7/8/2014,18.9,21.39,18.85,0
7/9/2014,21.65,21.03,22.15,0
7/10/2014,16.7,19.64,17.6,0
7/11/2014,15.45,17.14,16.3,0
7/12/2014,19.3,18.56,13.75,0
7/13/2014,20.35,20.36,16.65,0
7/14/2014,19.65,21.86,21.3,0
7/15/2014,19.9,22.47,21.95,0
7/16/2014,22.6,22.84,20.5,0
7/17/2014,19.15,20.58,16.45,0
7/18/2014,15.65,16.3,18.45,0
7/19/2014,19.1,17.94,16.55,0
7/20/2014,15.65,16.06,14.8,0
7/21/2014,15.7,16,14.3,0
7/22/2014,16.9,18.84,17.45,0
7/23/2014,18.4,20.89,18.75,0
7/24/2014,16.6,21.5,21.1,0
7/25/2014,15.5,19.11,20.1,0
7/26/2014,16.35,15.61,19.6,0
7/27/2014,17.9,17.44,19.4,0
7/28/2014,18.95,22.06,20.15,0
7/29/2014,22.05,23.61,22.15,0
7/30/2014,23,24.06,23.85,0
7/31/2014,20.2,24.42,20.9,0
8/1/2014,19.55,19.89,16.05,0
8/2/2014,21.2,21.44,17.9,0
8/3/2014,18.75,21.39,19.85,0
8/4/2014,16.35,20.94,21.4,0
8/5/2014,17.75,20.25,20.35,0
8/6/2014,19.65,21.44,22.1,0
8/7/2014,19.45,20.64,19.5,0
8/8/2014,15.25,18.25,15.75,0
8/9/2014,14.4,15.86,15.45,0
8/10/2014,17.75,19.2,17.55,0
8/11/2014,19.65,21,18.7,0
8/12/2014,20.5,22.97,19.05,0
8/13/2014,22.55,22.28,23.4,0
8/14/2014,19.5,23.06,21.15,0
8/15/2014,18.65,23.36,20.35,0
8/16/2014,17.6,22.8,20.65,0
8/17/2014,19.45,20.5,22.15,0
8/18/2014,20.1,21.56,18.85,0
8/19/2014,17.25,20.75,18.05,0
8/20/2014,12.2,16.84,12.95,0
8/21/2014,10.75,14,8.75,0
8/22/2014,10.25,12.36,8.55,0
8/23/2014,10.6,11.44,11.4,0
8/24/2014,11.7,14.66,14.45,0
8/25/2014,13.8,15.5,15.5,0
8/26/2014,17.35,19.44,18.45,0
8/27/2014,20.25,19.8,17.65,0
8/28/2014,11.45,17.5,10.4,0
8/29/2014,13.4,14.11,10.5,0
8/30/2014,14.35,15.47,14.65,0
8/31/2014,13.3,14.2,13.3,0
9/1/2014,13.45,12.89,11.75,0
9/2/2014,11.5,13.5,10.25,0
9/3/2014,9.2,11.44,10.05,0
9/4/2014,10.5,12,9.7,0
9/5/2014,13.95,14.44,6.4,0
9/6/2014,16.2,16.7,7.3,0
9/7/2014,18,18.64,5.25,0
9/8/2014,4.85,5.86,2.9,0
9/9/2014,0.6,3.94,1.75,0
9/10/2014,0.4,4.08,2.95,0
9/11/2014,3,5.86,5.25,0
9/12/2014,4.8,7.89,7.55,0
9/13/2014,7.4,8.58,5.45,0
9/14/2014,11.55,12,8.15,0
9/15/2014,13.3,14.92,12.4,0
9/16/2014,15.7,17.11,9.55,0
9/17/2014,16.3,16.75,8.95,0
9/18/2014,16.35,16.53,12.35,0
9/19/2014,15.55,16.39,15.4,0
9/20/2014,14.05,15.78,14.7,0
9/21/2014,16.3,18.56,17.05,0
9/22/2014,19.35,17.86,18.8,0
9/23/2014,16.35,16.3,15.5,0
9/24/2014,19.5,16.36,13.8,0
9/25/2014,17.7,15,11.3,0
9/26/2014,10.6,9.2,4.9,0
9/27/2014,7.45,5.56,5.1,0
9/28/2014,8.85,8.7,6.15,0
9/29/2014,12.95,11.7,11.65,0
9/30/2014,8,9.5,8.9,0
10/1/2014,8.25,7.92,5.15,0
10/2/2014,2.55,7.16,0.85,0
10/3/2014,5.7,2.28,-0.05,0
10/4/2014,14.15,12.64,3.25,0
10/5/2014,11.6,12.61,9.95,0
10/6/2014,12.15,10.89,4.75,0
10/7/2014,8.85,8.78,5.45,0
10/8/2014,9.35,8.8,2.3,0
10/9/2014,8.75,10.5,5.55,0
10/10/2014,11.95,13,12.7,0
10/11/2014,11.85,12.25,11.35,0
10/12/2014,10.05,10.67,8.85,0
10/13/2014,10.5,8.44,6.25,0
10/14/2014,9.7,9.8,9.15,0
10/15/2014,6.15,9.75,1.85,0
10/16/2014,7.3,6.86,-0.7,0
10/17/2014,8.25,8.86,5.55,0
10/18/2014,13.95,11.56,10.35,0
10/19/2014,10.6,9.25,7.95,0
10/20/2014,13.55,11.3,10.2,0
10/21/2014,11,12.72,8.05,0
10/22/2014,8.4,8.86,7.2,0
10/23/2014,9.65,8.64,6.65,0
10/24/2014,5.8,9.64,2.45,0
10/25/2014,4.1,2.61,2.1,0
10/26/2014,3.55,2.7,0.7,0
10/27/2014,1.2,-1.16,-0.3,0
10/28/2014,1.45,-1.25,-0.25,0
10/29/2014,6.6,0.25,-0.3,1
10/30/2014,0.45,1.56,-0.6,1
10/31/2014,8.6,3.5,1.7,1
11/1/2014,-0.1,3.2,3.05,1
11/2/2014,-0.55,2.44,-1.7,1
11/3/2014,0.8,2.39,-1.45,1
11/4/2014,5.65,2.3,-1.5,1
11/5/2014,2.9,2.61,-0.3,1
11/6/2014,8.85,4.94,2.2,1
11/7/2014,3.05,1.11,-4.75,1
11/8/2014,5.8,-0.42,-14.55,1
11/9/2014,-6.75,-6,-16.75,1
11/10/2014,-13.25,-13.06,-15,1
11/11/2014,-15.15,-13.06,-16.25,1
11/12/2014,-16.65,-13.56,-16.25,1
11/13/2014,-15.6,-16.89,-15.8,1
11/14/2014,-15.6,-16.7,-15.75,1
11/15/2014,-7.9,-9.14,-10.8,1
11/16/2014,-7.35,-11.2,-12.1,1
11/17/2014,-4.1,-12.5,-13.75,1
11/18/2014,-3.3,-2.78,-9.35,1
11/19/2014,-9,-2.95,-11.35,1
11/20/2014,-0.65,-0.78,-6.35,1
11/21/2014,5.35,3.08,-6.25,1
11/22/2014,1.75,-2.5,-10.4,1
11/23/2014,-1.25,-5.5,-14.55,1
11/24/2014,-0.45,-2,-14.25,1
11/25/2014,-0.3,-7.56,-23.05,1
11/26/2014,-3.7,-8.75,-24.05,1
11/27/2014,-8.7,-14,-19.1,1
11/28/2014,-18.85,-21.89,-23.1,1
11/29/2014,-21.4,-24.53,-24.55,1
11/30/2014,-20.45,-21.56,-25.2,1
12/1/2014,-11.55,-16,-22.95,1
12/2/2014,-8.15,-10.39,-22.25,1
12/3/2014,-7.55,-7.31,-21.25,1
12/4/2014,-5.5,-8.89,-16.65,1
12/5/2014,-8.1,-9.25,-16.15,1
12/6/2014,-0.2,-7.86,-14.1,1
12/7/2014,0.65,-8.33,-10.95,1
12/8/2014,-0.85,-9.39,-11.5,1
12/9/2014,4.1,-0.86,-9.1,1
12/10/2014,4.06,4.64,-0.65,1
12/11/2014,5.75,5.75,-4.05,1
12/12/2014,6.45,-0.72,-6.7,1
12/13/2014,1.7,-3,-7.05,1
12/14/2014,-3.5,-3.53,-5.95,1
12/15/2014,-7.05,-8.36,-10.8,1
12/16/2014,-9.3,-6.75,-15.3,1
12/17/2014,-4.1,-5.53,-14.15,1
12/18/2014,-2.1,-8.53,-11.7,1
12/19/2014,-0.1,-8.25,-13.3,1
12/20/2014,0.5,-5.11,-7.6,1
12/21/2014,0.35,-3.86,-6.9,1
12/22/2014,-1,-1.5,-9.05,1
12/23/2014,-0.4,-3.75,-11.5,1
12/24/2014,-1.25,-5.75,-16.2,1
12/25/2014,-4.15,-9.83,-27.9,1
12/26/2014,-6.9,-11.2,-26.1,1
12/27/2014,-4.25,-8.86,-27.85,1
12/28/2014,-11.25,-13.5,-28.55,1
12/29/2014,-17.6,-18.03,-22.1,1
12/30/2014,-11,-11.8,-13.75,1
12/31/2014,-3.15,-3.5,-9.35,1
1/1/2015,-2.45,-3.95,-12.44,1
1/2/2015,-11.25,-14,-20.39,1
1/3/2015,-20.35,-24.25,-27.75,1
1/4/2015,-21.65,-25.75,-24.64,1
1/5/2015,-17,-22.25,-19.28,1
1/6/2015,-14.85,-18.53,-24.3,1
1/7/2015,-3.55,-13.64,-22.64,1
1/8/2015,-11.05,-17.3,-18,1
1/9/2015,-12.9,-21.36,-23.36,1
1/10/2015,-7.55,-20.94,-26.94,1
1/11/2015,-12.85,-17.25,-25.44,1
1/12/2015,-11.6,-12.06,-17.8,1
1/13/2015,-2.45,-6.94,-10.3,1
1/14/2015,3.75,-0.05,-4.66,1
1/15/2015,3.75,-4.75,-13.3,1
1/16/2015,4.1,-1.39,-6.34,1
1/17/2015,4.3,-0.75,-3.39,1
1/18/2015,1.1,-4.5,-7.7,1
1/19/2015,2.9,-0.14,-10.14,1
1/20/2015,-0.25,-2.36,-10.8,1
1/21/2015,-0.1,-1.31,-6.8,1
1/22/2015,3.65,5.44,3.3,1
1/23/2015,7.25,3,1.81,1
1/24/2015,6,3.92,-0.42,1
1/25/2015,8.9,5.75,2.3,1
1/26/2015,6.65,3.8,1.8,1
1/27/2015,7.7,0.7,-6.3,1
1/28/2015,1.3,-4,-14.56,1
1/29/2015,1.2,-4.66,-18.53,1
1/30/2015,-1.5,-9.25,-18.34,1
1/31/2015,-12,-15.28,-24.56,1
2/1/2015,-12.15,-15.89,-23.58,1
2/2/2015,-14.1,-15.64,-20.14,1
2/3/2015,-15.55,-17.39,-20.64,1
2/4/2015,-5.65,-11.28,-19.06,1
2/5/2015,-9.5,-11.3,-20.08,1
2/6/2015,-13.55,-17.44,-24.56,1
2/7/2015,-2.65,-16.36,-20.36,1
2/8/2015,-6.05,-15.06,-19.94,1
2/9/2015,-12.95,-15.8,-23.34,1
2/10/2015,-9.8,-13.3,-23.16,1
2/11/2015,-8.55,-12.56,-28.78,1
2/12/2015,1,-2.94,-13.39,1
2/13/2015,7.45,2.61,-12.06,1
2/14/2015,2.6,-2.75,-10.94,1
2/15/2015,1.45,1.86,-10.2,1
2/16/2015,-1.3,-2.7,-16.06,1
2/17/2015,-3.5,-11.16,-21.28,1
2/18/2015,2.5,-3.92,-12.75,1
2/19/2015,4.9,2.2,-5.94,1
2/20/2015,-0.85,-2.36,-8.56,1
2/21/2015,-8.85,-6.08,-19.34,1
